,time,latitude,longitude,frpfire,fire_range
1085077,2023-07-03T00:00:00,59.85,147.75,1.3986085001065156,1-5
1085079,2023-07-03T00:00:00,59.85,147.95,1.1051275955839053,1-5
1092144,2023-07-03T00:00:00,59.65,134.45,3.7559700798255626,1-5
1095744,2023-07-03T00:00:00,59.55,134.45,2.2058639556886668,1-5
1102964,2023-07-03T00:00:00,59.35,136.45,6.163830867554733,5-10
1111293,2023-07-03T00:00:00,59.15,249.35,1.1234244100803252,1-5
1132967,2023-07-03T00:00:00,58.55,256.75,1.6210977643830127,1-5
1135361,2023-07-03T00:00:00,58.45,136.15,2.844056845323877,1-5
1138961,2023-07-03T00:00:00,58.35,136.15,2.079981871953283,1-5
1158136,2023-07-03T00:00:00,57.85,253.65,1.4644770322936367,1-5
1158137,2023-07-03T00:00:00,57.85,253.75,2.586437697214251,1-5
1172465,2023-07-03T00:00:00,57.45,246.55,3.5129883833130755,1-5
1172466,2023-07-03T00:00:00,57.45,246.65,1.0055929247233664,1-5
1187069,2023-07-03T00:00:00,57.05,266.95,2.001671505908593,1-5
1194526,2023-07-03T00:00:00,56.85,292.65,1.1131781939623302,1-5
1194529,2023-07-03T00:00:00,56.85,292.95,3.1477839659644857,1-5
1198130,2023-07-03T00:00:00,56.75,293.05,9.01667018383689,5-10
1208541,2023-07-03T00:00:00,56.45,254.15,1.7821097319515289,1-5
1212141,2023-07-03T00:00:00,56.35,254.15,1.8443189012393617,1-5
1215553,2023-07-03T00:00:00,56.25,235.35,1.8948181092494885,1-5
1216111,2023-07-03T00:00:00,56.25,291.15,1.1226925375004697,1-5
1219711,2023-07-03T00:00:00,56.15,291.15,3.8540410055263834,1-5
1225258,2023-07-03T00:00:00,55.95,125.85,1.4732595032519207,1-5
1229183,2023-07-03T00:00:00,55.85,158.35,2.0426563703805805,1-5
1229184,2023-07-03T00:00:00,55.85,158.45,3.3307521109287066,1-5
1229185,2023-07-03T00:00:00,55.85,158.55,1.072925202070202,1-5
1229947,2023-07-03T00:00:00,55.85,234.75,7.6085473401922314,5-10
1233554,2023-07-03T00:00:00,55.75,235.45,2.333209784583765,1-5
1247963,2023-07-03T00:00:00,55.35,236.35,1.2061260116041552,1-5
1255532,2023-07-03T00:00:00,55.15,273.25,1.2346690422185738,1-5
1273651,2023-07-03T00:00:00,54.65,285.15,2.0997424316094175,1-5
1273652,2023-07-03T00:00:00,54.65,285.25,5.096028773543527,5-10
1273668,2023-07-03T00:00:00,54.65,286.85,1.283704505068986,1-5
1277220,2023-07-03T00:00:00,54.55,282.05,9.851736797453603,5-10
1277221,2023-07-03T00:00:00,54.55,282.15,12.054673262822844,10-50
1277222,2023-07-03T00:00:00,54.55,282.25,1.3356674582388237,1-5
1277225,2023-07-03T00:00:00,54.55,282.55,1.190756687427161,1-5
1277262,2023-07-03T00:00:00,54.55,286.25,1.2332052970588592,1-5
1280820,2023-07-03T00:00:00,54.45,282.05,2.1743934347548226,1-5
1280827,2023-07-03T00:00:00,54.45,282.75,6.60222254288901,5-10
1280840,2023-07-03T00:00:00,54.45,284.05,1.8179714883645168,1-5
1280841,2023-07-03T00:00:00,54.45,284.15,1.6028009498865892,1-5
1280874,2023-07-03T00:00:00,54.45,287.45,1.851637627037931,1-5
1284439,2023-07-03T00:00:00,54.35,283.95,4.446857795210466,1-5
