"code_entite","lat","long","surface_bv","type","date","nom_site","mesure_2023","moyenne_historique","rapport","rapport_categorie","colour_categ","rapport_label","popup_html"
"J3834010",48.2603118,-4.060628,138.73,"site",2023-09-04,"La Douffine à Lopérec",1104.85714285714,655.966666666667,68.4319034794155,"sup à 50%","#9ecae1","+68,4%","Débit moyen au 4 septembre 2023: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+68,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4014010",48.0393404,-4.4738418,89.2,"site",2023-09-04,"Le Goyen à Pont-Croix",279.714285714286,287.252380952381,-2.6242063557846,"inf à 0%","#feedde","-2,6%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-2,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4124420",47.9082112,-4.241494,32,"site",2023-09-04,"Le Pont l'Abbé à Plonéour-Lanvern",181.428571428571,134.709523809524,34.6813248966024,"sup à 15%","#c6dbef","+34,7%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+34,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4125720",47.9084061,-4.2500294,11.9,"site",2023-09-04,"[Le Troyon] à Plonéour-Lanvern",31.7142857142857,57.3714285714286,-44.7211155378487,"inf à -40%","#fd8d3c","-44,7%","Débit moyen au 4 septembre 2023: <span style='background: #fd8d3c; display: inline-block; padding: 2px; padding-bottom:0'>-44,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4211910",48.0062963,-4.0638482,203.2,"site",2023-09-04,"L'Odet à Ergué-Gabéric",1152.71428571429,832.804761904762,38.4135079965011,"sup à 15%","#c6dbef","+38,4%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+38,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4214510",48.102938,-3.9871214,7.17,"site",2023-09-04,"Le Langelin à Briec",38,21.4238095238095,77.3727494998891,"sup à 50%","#9ecae1","+77,4%","Débit moyen au 4 septembre 2023: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+77,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4224010",47.9889706,-4.0146954,107.43,"site",2023-09-04,"Le Jet à Ergué-Gabéric",711.142857142857,529.204761904762,34.379527233135,"sup à 15%","#c6dbef","+34,4%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+34,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4313010",48.0277027,-4.1471133,179.67,"site",2023-09-04,"Le Steïr à Guengat",924.571428571429,772.085714285714,19.7498427265664,"sup à 15%","#c6dbef","+19,7%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+19,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4514010",47.8837779,-3.8752806,21,"site",2023-09-04,"Le Moros à Concarneau",132.428571428571,85.6,54.7062750333773,"sup à 50%","#9ecae1","+54,7%","Débit moyen au 4 septembre 2023: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+54,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4515420",47.889214,-3.8782426,23.24,"site",2023-09-04,"L'Hôpital [Le Styval] à Concarneau",143.714285714286,97.9642857142857,46.700692672257,"sup à 15%","#c6dbef","+46,7%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+46,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4614010",47.9076231,-3.751723,72.1,"site",2023-09-04,"Le Stêr Goz à Bannalec",505.285714285714,369.995238095238,36.5654641629879,"sup à 15%","#c6dbef","+36,6%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+36,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4623020",47.8851175,-3.734245,167.2,"site",2023-09-04,"L'Aven à Pont-Aven [Voie express]",1362.42857142857,906.974489795918,50.2168568969493,"sup à 50%","#9ecae1","+50,2%","Débit moyen au 4 septembre 2023: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+50,2%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4712010",48.0390663,-3.4760737,145.4,"site",2023-09-04,"L'Ellé au Faouët et à Priziac",372.714285714286,380.185714285714,-1.96520497501207,"inf à 0%","#feedde","-2,0%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-2,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4734010",48.0480299,-3.5560593,118.27,"site",2023-09-04,"L'Inam au Faouët",564.857142857143,397.980952380952,41.9306978079833,"sup à 15%","#c6dbef","+41,9%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+41,9%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4742010",47.9043348,-3.469218,575.14,"site",2023-09-04,"L'Ellé à Arzano",2501.71428571429,1775.90178571429,40.8700810956203,"sup à 15%","#c6dbef","+40,9%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+40,9%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4803010",47.9879048,-3.6711584,102,"site",2023-09-04,"L'Isole à Scaër",503.285714285714,466.147619047619,7.96702454771118,"0 et 15%","#eff3ff","+8,0%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+8,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"J4813010",47.8756563,-3.5460658,227.11,"site",2023-09-04,"L'Isole à Quimperlé",1041,910.914285714286,14.2807853961483,"0 et 15%","#eff3ff","+14,3%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+14,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5102210",47.9055807,-3.4191444,299.79,"site",2023-08-31,"Le Scorff à Plouay",1000.28571428571,1119.1619047619,-10.6218939342365,"inf à 0%","#feedde","-10,6%","Débit moyen au 31 août 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-10,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5202110",48.3915174,-3.2508614,19.18,"site",2023-09-04,"Le Blavet à Kerien",55.2857142857143,59.2095238095238,-6.6269905098922,"inf à 0%","#feedde","-6,6%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-6,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5432110",48.1432725,-3.0053205,811.29,"site",2023-09-04,"Le Blavet à Neulliac",2505.57142857143,2386.45238095238,4.99146970498159,"0 et 15%","#eff3ff","+5,0%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+5,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5613010",47.901055,-2.97465,315.23,"site",2023-09-04,"L'Evel à Guénin",186.571428571429,205.514285714286,-9.21729459196432,"inf à 0%","#feedde","-9,2%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-9,2%</span> par rapport à la moyenne 1990-2020 à cette période."
