date-heure,url,nombre_signatures
2025-10-08 13:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170791
2025-10-08 13:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15841
2025-10-08 14:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170802
2025-10-08 14:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15844
2025-10-08 15:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170810
2025-10-08 15:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15850
2025-10-08 16:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170835
2025-10-08 16:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15858
2025-10-08 17:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170860
2025-10-08 17:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15861
2025-10-08 18:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170870
2025-10-08 18:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15865
2025-10-08 19:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170885
2025-10-08 19:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15871
2025-10-08 20:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170900
2025-10-08 20:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15881
2025-10-08 21:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170912
2025-10-08 21:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15885
2025-10-08 22:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170920
2025-10-08 22:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15888
2025-10-08 23:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170924
2025-10-08 23:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15889
2025-10-09 00:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170926
2025-10-09 00:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15889
2025-10-09 01:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170927
2025-10-09 01:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15889
2025-10-09 02:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170929
2025-10-09 02:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15889
2025-10-09 03:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170932
2025-10-09 03:00:01,https://petitions.assemblee-nationale.fr/initiatives/i-4023,15891
2025-10-09 04:00:02,https://petitions.assemblee-nationale.fr/initiatives/i-2743,170932
