"date","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
2023-08-03,76.7605633802817,57.7464788732394,14.0845070422535,12.6760563380282,39.4366197183099,15.4929577464789,72.8301886792453,32.7868852459016,74.5901639344262,48.3606557377049,22.7272727272727,75.9336099585062,NA
2023-08-04,77.4647887323944,57.9505300353357,14.7887323943662,13.3802816901408,38.5159010600707,16.1971830985915,73.5849056603774,34.0163934426229,74.1803278688525,47.9508196721311,22.7272727272727,76.7634854771784,NA
2023-08-05,77.4647887323944,56.3380281690141,15.1408450704225,14.0845070422535,38.1625441696113,16.1971830985915,73.5849056603774,34.0163934426229,74.1803278688525,48.7704918032787,21.4876033057851,76.7634854771784,NA
2023-08-06,76.678445229682,54.2253521126761,14.7887323943662,13.4275618374558,38.5159010600707,16.9014084507042,74.3396226415094,33.6065573770492,73.7704918032787,48.7704918032787,21.900826446281,77.5933609958506,NA
2023-08-07,73.8515901060071,54.9295774647887,13.4275618374558,14.0845070422535,38.5159010600707,18.3098591549296,74.3396226415094,33.6065573770492,72.1311475409836,49.5901639344262,20.2479338842975,76.7634854771784,NA
2023-08-08,73.5915492957746,55.6338028169014,13.7323943661972,11.9718309859155,39.5759717314488,17.6056338028169,72.7272727272727,34.0163934426229,72.5409836065574,49.1803278688525,20.6611570247934,77.5933609958506,NA
2023-08-09,72.887323943662,55.9859154929577,14.4876325088339,11.2676056338028,38.3802816901408,17.9577464788732,72.6235741444867,33.1967213114754,72.9508196721311,50,20.6611570247934,78.0082987551867,NA
2023-08-10,74.5583038869258,55.2816901408451,14.4876325088339,10.5633802816901,35.5633802816901,17.9577464788732,72.9007633587786,34.0163934426229,72.9508196721311,50,19.4214876033058,76.7634854771784,NA
2023-08-11,73.943661971831,55.9859154929577,14.4366197183099,10.5633802816901,35.9154929577465,17.9577464788732,72.9007633587786,32.7868852459016,71.3114754098361,48.7704918032787,19.8347107438017,76.8595041322314,NA
2023-08-12,73.8515901060071,57.7464788732394,14.4876325088339,10.5633802816901,36.2676056338028,17.9577464788732,72.6923076923077,31.1475409836066,70.9016393442623,49.5901639344262,19.8347107438017,77.2727272727273,NA
2023-08-13,74.6478873239437,57.7464788732394,14.8409893992933,8.48056537102473,35.2112676056338,18.6619718309859,73.3590733590734,31.1475409836066,70.9016393442623,50.4098360655738,21.4876033057851,76.3485477178423,NA
2023-08-14,75.2650176678445,57.7464788732394,14.4876325088339,8.45070422535211,34.1549295774648,18.6619718309859,72.8682170542636,31.1475409836066,70.4918032786885,48.3606557377049,19.8347107438017,75,NA
2023-08-15,75,57.7464788732394,15.547703180212,8.45070422535211,32.0422535211268,18.3098591549296,70.8171206225681,30.7377049180328,69.672131147541,47.1311475409836,20.6611570247934,74.2738589211618,NA
2023-08-16,74.2957746478873,58.0985915492958,15.547703180212,8.80281690140845,32.3943661971831,19.0140845070423,72.265625,31.9672131147541,71.3114754098361,47.5409836065574,21.4876033057851,75.103734439834,NA
2023-08-17,76.056338028169,59.5070422535211,16.9611307420495,9.85915492957746,32.3943661971831,18.3098591549296,72.265625,32.3770491803279,71.3114754098361,48.3606557377049,22.7272727272727,75.5186721991701,NA
2023-08-18,75.3521126760563,59.1549295774648,17.6056338028169,7.74647887323944,32.7464788732394,20.0704225352113,73.046875,34.0163934426229,68.8524590163934,50,22.3140495867769,75.8333333333333,NA
2023-08-19,76.7605633802817,60.2112676056338,17.9577464788732,8.45070422535211,33.8028169014084,20.0704225352113,74.21875,34.4262295081967,69.672131147541,49.5901639344262,23.5537190082645,77.0833333333333,NA
2023-08-20,76.8683274021352,60.2112676056338,20.0704225352113,8.45070422535211,34.5070422535211,20.7746478873239,74.21875,36.0655737704918,68.8524590163934,50,23.9669421487603,76.6666666666667,NA
2023-08-21,77.112676056338,61.6197183098592,20.0704225352113,8.80281690140845,34.1549295774648,20.0704225352113,73.4375,36.0655737704918,68.8524590163934,50,23.5537190082645,76.7634854771784,NA
2023-08-22,77.112676056338,61.9718309859155,19.3661971830986,9.15492957746479,34.1549295774648,20.0704225352113,73.046875,36.4754098360656,69.2622950819672,50.4098360655738,23.9669421487603,76.7634854771784,NA
2023-08-23,76.4084507042254,60.4240282685512,20.0704225352113,9.50704225352113,32.7464788732394,20.0704225352113,72.9411764705882,35.655737704918,69.2622950819672,50.8196721311475,24.7933884297521,77.5933609958506,NA
2023-08-24,77.112676056338,60.9154929577465,19.3661971830986,9.85915492957746,32.6241134751773,21.2014134275618,74.5098039215686,37.2950819672131,70.4918032786885,50.8196721311475,24.7933884297521,77.5933609958506,NA
2023-08-25,76.056338028169,61.6197183098592,18.3098591549296,9.15492957746479,31.6901408450704,21.2014134275618,75.2941176470588,37.2950819672131,71.3114754098361,50.4098360655738,25.2066115702479,77.5933609958506,NA
2023-08-26,74.9116607773852,62.3239436619718,18.0212014134276,8.45070422535211,31.6901408450704,21.830985915493,76.3779527559055,36.8852459016393,71.3114754098361,50.8196721311475,24.3801652892562,78.0082987551867,NA
2023-08-27,74.2957746478873,64.0845070422535,17.6678445229682,8.80281690140845,31.3380281690141,22.5352112676056,77.4703557312253,38.9344262295082,70.9016393442623,50.8196721311475,23.9669421487603,77.9166666666667,NA
2023-08-28,75,65.1408450704225,18.0212014134276,9.18727915194346,32.7464788732394,23.2394366197183,77.0750988142292,38.1147540983607,72.1311475409836,50,24.3801652892562,77.9166666666667,NA
2023-08-29,75,65.8450704225352,18.3745583038869,9.15492957746479,32.7464788732394,24.2957746478873,76.2845849802372,38.1147540983607,72.1311475409836,48.7704918032787,24.7933884297521,78.4232365145228,NA
2023-08-30,75.3521126760563,64.4366197183099,19.7879858657244,9.50704225352113,31.6901408450704,23.943661971831,75.8893280632411,38.9344262295082,72.1311475409836,47.9508196721311,25.6198347107438,78.4232365145228,NA
2023-08-31,75.3521126760563,66.1971830985916,19.7879858657244,10.2112676056338,30.2816901408451,24.2957746478873,76.8924302788845,40.5737704918033,71.7213114754098,48.3606557377049,26.4462809917355,78.4232365145228,NA
2023-09-01,75.3521126760563,65.8450704225352,20.6405693950178,10.5633802816901,28.5211267605634,26.056338028169,78.0876494023904,38.9344262295082,72.9508196721311,49.1803278688525,26.8595041322314,78.4232365145228,NA
2023-09-02,75.3521126760563,65.4929577464789,21.2014134275618,9.85915492957746,29.2253521126761,25.7042253521127,77.6892430278885,39.7540983606557,74.1803278688525,49.7942386831276,28.099173553719,78.3333333333333,NA
2023-09-03,73.943661971831,64.4366197183099,21.9081272084806,9.85915492957746,28.5211267605634,25.7042253521127,76.4940239043825,39.7540983606557,75.8196721311475,50.6172839506173,27.6859504132231,78.3333333333333,NA
2023-09-04,73.5915492957746,64.7887323943662,21.1267605633803,9.85915492957746,28.5211267605634,25.3521126760563,76.0956175298805,40.5737704918033,73.7704918032787,50.6172839506173,28.099173553719,77.9166666666667,NA
2023-09-05,73.4982332155477,65.1408450704225,21.1267605633803,9.85915492957746,29.3286219081272,26.056338028169,78.4860557768924,40.9836065573771,75,51.440329218107,27.2727272727273,77.9166666666667,NA
2023-09-06,74.6478873239437,66.1971830985916,21.1267605633803,10.9154929577465,30.9859154929577,26.056338028169,78.4860557768924,40.9836065573771,76.6393442622951,51.440329218107,27.6859504132231,77.0833333333333,NA
2023-09-07,73.8515901060071,65.8450704225352,21.1267605633803,10.9540636042403,31.095406360424,26.5017667844523,78.4860557768924,40.9836065573771,75,51.8518518518519,28.5123966942149,75.4166666666667,NA
2023-09-08,74.2957746478873,65.8450704225352,20.0704225352113,10.5633802816901,31.6901408450704,26.4084507042254,75.2988047808765,41.3934426229508,76.6393442622951,51.0288065843621,27.6859504132231,75,NA
2023-09-09,73.5915492957746,65.8450704225352,19.1489361702128,10.5633802816901,30.9859154929577,27.112676056338,72.9083665338645,41.3934426229508,76.6393442622951,51.0288065843621,27.2727272727273,75,NA
